fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
06. Jun;0.24;0.27;01. Apr;0.057;33;152;0.9934;Mrz 22;0.56;09. Mai;6
06. Jul;0.23;0.26;01. Apr;0.06;33;154;0.9934;Mrz 24;0.56;09. Mai;6
07. Apr;0.18;0.31;01. Apr;0.058;38;167;0.9931;Mrz 16;0.53;10;7
06. Feb;0.45;0.26;04. Apr;0.063;63;206;0.994;Mrz 27;0.52;09. Aug;4
06. Feb;0.46;0.25;04. Apr;0.066;62;207;0.9939;Mrz 25;0.52;09. Aug;5
7;0.31;0.26;07. Apr;0.069;28;160;0.9954;Mrz 13;0.46;09. Aug;6
06. Sep;0.19;0.35;5;0.067;32;150;0.995;Mrz 36;0.48;09. Aug;5
07. Feb;0.19;0.31;01. Jun;0.062;31;173;0.9917;Mrz 35;0.44;11. Jul;6
06. Jun;0.25;0.29;01. Jan;0.068;39;124;0.9914;Mrz 34;0.58;11;7
06. Feb;0.16;0.33;01. Jan;0.057;21;82;0.991;Mrz 32;0.46;10. Sep;7
06. Apr;0.18;0.35;1;0.045;39;108;0.9911;Mrz 31;0.35;10. Sep;6
06. Aug;0.2;0.59;0.9;0.147;38;132;0.993;03. Mai;0.38;09. Jan;6
06. Sep;0.25;0.35;01. Mrz;0.039;29;191;0.9908;Mrz 13;0.52;11;6
07. Feb;0.21;0.34;11. Sep;0.043;37;213;0.9962;03. Sep;0.5;09. Jun;6
6;0.19;0.26;12. Apr;0.048;50;147;0.9972;03. Mrz;0.36;08. Sep;6
06. Jun;0.38;0.15;04. Jun;0.044;25;78;0.9931;03. Nov;0.38;10. Feb;6
07. Apr;0.2;0.36;01. Feb;0.038;44;111;0.9926;Mrz 36;0.34;09. Sep;6
06. Aug;0.22;0.24;04. Sep;0.092;30;123;0.9951;03. Mrz;0.46;08. Jun;6
6;0.19;0.26;12. Apr;0.048;50;147;0.9972;03. Mrz;0.36;08. Sep;6
7;0.47;0.07;01. Jan;0.035;17;151;0.991;03. Feb;0.34;10. Mai;5
06. Jun;0.38;0.15;04. Jun;0.044;25;78;0.9931;03. Nov;0.38;10. Feb;6
07. Feb;0.24;0.27;01. Apr;0.038;31;122;0.9927;Mrz 15;0.46;10. Mrz;6
06. Feb;0.35;0.03;01. Feb;0.064;29;120;0.9934;Mrz 22;0.54;09. Jan;5
06. Apr;0.26;0.24;06. Apr;0.04;27;124;0.9903;Mrz 22;0.49;12. Jun;7
06. Jul;0.25;0.13;01. Feb;0.041;81;174;0.992;Mrz 14;0.42;09. Aug;5
06. Jul;0.23;0.31;02. Jan;0.046;30;96;0.9926;Mrz 33;0.64;10. Jul;8
07. Apr;0.24;0.29;10. Jan;0.05;21;105;0.9962;Mrz 13;0.35;09. Mai;5
06. Feb;0.27;0.43;07. Aug;0.056;48;244;0.9956;03. Jan;0.51;9;6
06. Aug;0.3;0.23;04. Jun;0.061;50.5;238.5;0.9958;Mrz 32;0.6;09. Mai;5
6;0.27;0.28;04. Aug;0.063;31;201;0.9964;Mrz 69;0.71;10;5
08. Jun;0.23;0.46;1;0.054;9;72;0.9941;Feb 95;0.49;09. Jan;6
06. Jul;0.23;0.31;02. Jan;0.046;30;96;0.9926;Mrz 33;0.64;10. Jul;8
07. Apr;0.24;0.29;10. Jan;0.05;21;105;0.9962;Mrz 13;0.35;09. Mai;5
07. Jan;0.18;0.36;01. Apr;0.043;31;87;0.9898;Mrz 26;0.37;12. Jul;7
7;0.32;0.34;01. Mrz;0.042;20;69;0.9912;Mrz 31;0.65;12;7
07. Apr;0.18;0.3;08. Aug;0.064;26;103;0.9961;Feb 94;0.56;09. Mrz;5
06. Jul;0.54;0.28;05. Apr;0.06;21;105;0.9949;Mrz 27;0.37;9;5
06. Aug;0.22;0.31;01. Apr;0.053;34;114;0.9929;Mrz 39;0.77;10. Jun;6
07. Jan;0.2;0.34;16;0.05;51;166;0.9985;Mrz 21;0.6;09. Feb;6
07. Jan;0.34;0.2;06. Jan;0.063;47;164;0.9946;Mrz 17;0.42;10;5
07. Mrz;0.22;0.3;08. Feb;0.047;42;207;0.9966;Mrz 33;0.46;09. Mai;6
07. Jan;0.43;0.61;11. Aug;0.045;54;155;0.9974;03. Nov;0.45;08. Jul;5
07. Jan;0.44;0.62;11. Aug;0.044;52;152;0.9975;03. Dez;0.46;08. Jul;6
07. Feb;0.39;0.63;11;0.044;55;156;0.9974;03. Sep;0.44;08. Jul;6
06. Aug;0.25;0.31;13. Mrz;0.05;69;202;0.9972;Mrz 22;0.48;09. Jul;6
07. Jan;0.43;0.61;11. Aug;0.045;54;155;0.9974;03. Nov;0.45;08. Jul;5
07. Jan;0.44;0.62;11. Aug;0.044;52;152;0.9975;03. Dez;0.46;08. Jul;6
07. Feb;0.39;0.63;11;0.044;55;156;0.9974;03. Sep;0.44;08. Jul;6
06. Jan;0.27;0.43;07. Mai;0.049;65;243;0.9957;03. Dez;0.47;9;5
06. Sep;0.24;0.33;01. Jul;0.035;47;136;0.99;Mrz 26;0.4;12. Jun;7
06. Sep;0.21;0.33;01. Aug;0.034;48;136;0.9899;Mrz 25;0.41;12. Jun;7
07. Mai;0.17;0.32;01. Jul;0.04;51;148;0.9916;Mrz 21;0.44;11. Mai;7
07. Jan;0.26;0.29;12. Apr;0.044;62;240;0.9969;03. Apr;0.42;09. Feb;6
6;0.34;0.66;15. Sep;0.046;26;164;0.9979;Mrz 14;0.5;08. Aug;6
08. Jun;0.265;0.36;01. Feb;0.034;15;80;0.9913;Feb 95;0.36;11. Apr;7
09. Aug;0.36;0.46;10. Mai;0.038;4;83;0.9956;Feb 89;0.3;10. Jan;4
6;0.34;0.66;15. Sep;0.046;26;164;0.9979;Mrz 14;0.5;08. Aug;6
07. Apr;0.25;0.37;13. Mai;0.06;52;192;0.9975;3;0.44;09. Jan;5
07. Jan;0.12;0.32;09. Jun;0.054;64;162;0.9962;03. Apr;0.41;09. Apr;5
6;0.21;0.24;12. Jan;0.05;55;164;0.997;Mrz 34;0.39;09. Apr;5
07. Mai;0.305;0.4;18. Sep;0.059;44;170;1;Feb 99;0.46;9;5
07. Apr;0.25;0.37;13. Mai;0.06;52;192;0.9975;3;0.44;09. Jan;5
07. Mrz;0.13;0.32;14. Apr;0.051;34;109;0.9974;03. Feb;0.35;09. Feb;6
07. Jan;0.12;0.32;09. Jun;0.054;64;162;0.9962;03. Apr;0.41;09. Apr;5
07. Jan;0.23;0.35;16. Mai;0.04;60;171;0.999;Mrz 16;0.59;09. Jan;6
07. Jan;0.23;0.35;16. Mai;0.04;60;171;0.999;Mrz 16;0.59;09. Jan;6
06. Sep;0.33;0.28;01. Mrz;0.051;37;187;0.9927;Mrz 27;0.6;10. Mrz;5
06. Mai;0.17;0.54;08. Mai;0.082;64;163;0.9959;Feb 89;0.39;08. Aug;6
07. Feb;0.27;0.46;18.75;0.052;45;255;1;03. Apr;0.52;08. Sep;5
07. Feb;0.31;0.5;13. Mrz;0.056;68;195;0.9982;03. Jan;0.47;09. Feb;5
06. Jul;0.41;0.34;09. Feb;0.049;29;150;0.9968;Mrz 22;0.51;09. Jan;5
06. Jul;0.41;0.34;09. Feb;0.049;29;150;0.9968;Mrz 22;0.51;09. Jan;5
05. Mai;0.485;0;01. Mai;0.065;8;103;0.994;Mrz 63;0.4;09. Jul;4
6;0.31;0.24;03. Mrz;0.041;25;143;0.9914;Mrz 31;0.44;11. Mrz;6
7;0.14;0.4;01. Jul;0.035;16;85;0.9911;Mrz 19;0.42;11. Aug;6
07. Feb;0.31;0.5;13. Mrz;0.056;68;195;0.9982;03. Jan;0.47;09. Feb;5
07. Mrz;0.32;0.48;13. Mrz;0.06;57;196;0.9982;03. Apr;0.5;09. Feb;5
05. Sep;0.36;0.04;05. Jul;0.046;21;87;0.9934;Mrz 22;0.51;10. Feb;5
07. Aug;0.24;0.32;12. Feb;0.054;42;138;0.9984;03. Jan;0.54;08. Aug;5
07. Apr;0.16;0.31;Jun 85;0.059;31;131;0.9952;Mrz 29;0.34;09. Jul;5
06. Sep;0.19;0.28;5;0.058;14;146;0.9952;Mrz 29;0.36;09. Jan;6
06. Apr;0.13;0.47;01. Jun;0.092;40;158;0.9928;Mrz 21;0.36;09. Aug;6
06. Jul;0.19;0.36;01. Jan;0.026;63;143;0.9912;Mrz 27;0.48;11;6
07. Apr;0.39;0.23;7;0.033;29;126;0.994;Mrz 14;0.42;10. Mai;5
06. Mai;0.24;0.32;07. Jun;0.038;48;203;0.9958;Mrz 45;0.54;09. Jul;7
06. Jan;0.3;0.56;02. Aug;0.044;47;179;0.9924;03. Mrz;0.57;10. Sep;7
06. Jan;0.3;0.56;02. Jul;0.046;46;184;0.9924;Mrz 31;0.57;10. Sep;6
05. Jul;0.26;0.25;10. Apr;0.02;7;57;0.994;Mrz 39;0.37;10. Jun;5
06. Mai;0.24;0.32;07. Jun;0.038;48;203;0.9958;Mrz 45;0.54;09. Jul;7
06. Mai;0.425;0.4;13. Jan;0.038;59;241;0.9979;Mrz 23;0.57;9;5
06. Jun;0.24;0.27;15. Aug;0.035;46;188;0.9982;Mrz 24;0.51;09. Feb;5
06. Aug;0.27;0.22;08. Jan;0.034;55;203;0.9961;Mrz 19;0.52;08. Sep;5
06. Jul;0.27;0.31;15. Jul;0.036;44;179;0.9979;Mrz 26;0.56;09. Jun;5
08. Feb;0.23;0.4;01. Feb;0.027;36;121;0.992;03. Dez;0.38;10. Jul;6
07. Jan;0.37;0.67;10. Mai;0.045;49;155;0.9975;Mrz 16;0.44;08. Jul;5
06. Aug;0.19;0.36;01. Sep;0.035;30;96;0.9917;Mrz 15;0.54;10. Aug;7
08. Jan;0.28;0.39;01. Sep;0.029;18;79;0.9923;Mrz 23;0.52;11. Aug;6
06. Mrz;0.31;0.34;02. Feb;0.045;20;77;0.9927;03. Mrz;0.43;10. Feb;5
07. Jan;0.37;0.67;10. Mai;0.045;49;155;0.9975;Mrz 16;0.44;08. Jul;5
07. Sep;0.21;0.4;01. Feb;0.039;38;107;0.992;Mrz 21;0.54;10. Aug;6
08. Mai;0.21;0.41;04. Mrz;0.036;24;99;0.9947;Mrz 18;0.53;09. Jul;6
08. Jan;0.2;0.4;2;0.037;19;87;0.9921;03. Dez;0.54;11. Feb;6
06. Mrz;0.255;0.37;01. Jan;0.04;37;114;0.9905;3;0.39;10. Sep;6
05. Jun;0.16;0.27;01. Apr;0.044;53;168;0.9918;Mrz 28;0.37;10. Jan;6
06. Apr;0.595;0.14;05. Feb;0.058;15;97;0.9951;Mrz 38;0.36;9;4
06. Mrz;0.34;0.33;04. Jun;0.034;19;80;0.9917;Mrz 38;0.58;12;7
06. Sep;0.25;0.3;04. Jan;0.054;23;116;0.994;Feb 99;0.38;09. Apr;6
07. Sep;0.22;0.38;8;0.043;46;152;0.9934;03. Dez;0.32;11. Mai;7
07. Jun;0.18;0.46;10. Feb;0.055;58;135;0.9968;Mrz 14;0.43;09. Sep;6
06. Sep;0.25;0.3;04. Jan;0.054;23;116;0.994;Feb 99;0.38;09. Apr;6
07. Feb;0.18;0.41;01. Feb;0.048;41;97;0.9919;Mrz 14;0.45;10. Apr;5
08. Feb;0.23;0.4;07. Mai;0.049;12;76;0.9966;03. Jun;0.84;09. Jul;6
07. Apr;0.24;0.42;14;0.066;48;198;0.9979;Feb 89;0.42;08. Sep;6
07. Apr;0.24;0.42;14;0.066;48;198;0.9979;Feb 89;0.42;08. Sep;6
06. Jan;0.32;0.24;01. Mai;0.036;38;124;0.9898;Mrz 29;0.42;12. Apr;7
05. Feb;0.44;0.04;01. Apr;0.036;43;119;0.9894;Mrz 36;0.33;12. Jan;8
05. Feb;0.44;0.04;01. Apr;0.036;43;119;0.9894;Mrz 36;0.33;12. Jan;8
06. Jan;0.32;0.24;01. Mai;0.036;38;124;0.9898;Mrz 29;0.42;12. Apr;7
06. Apr;0.22;0.56;14. Mai;0.055;27;159;0.998;Feb 98;0.4;09. Jan;5
06. Mrz;0.36;0.3;04. Aug;0.049;14;85;0.9932;Mrz 28;0.39;10. Jun;5
07. Apr;0.24;0.42;14;0.066;48;198;0.9979;Feb 89;0.42;08. Sep;6
06. Jul;0.24;0.35;13. Jan;0.05;64;205;0.997;Mrz 15;0.5;09. Mai;5
7;0.23;0.36;13;0.051;72;177;0.9972;Mrz 16;0.49;09. Aug;5
08. Apr;0.27;0.46;08. Jul;0.048;39;197;0.9974;Mrz 14;0.59;09. Jun;6
06. Jul;0.46;0.18;02. Apr;0.034;25;98;0.9896;03. Aug;0.44;12. Jun;7
07. Mai;0.29;0.31;Aug 95;0.055;20;151;0.9968;03. Aug;0.54;09. Mrz;5
09. Aug;0.42;0.48;Sep 85;0.034;5;110;0.9958;Feb 87;0.29;10;5
07. Jan;0.3;0.46;01. Mai;0.066;29;133;0.9906;03. Dez;0.54;12. Jul;6
07. Sep;0.19;0.45;01. Mai;0.045;17;96;0.9917;Mrz 13;0.39;11;6
07. Jun;0.48;0.37;0.8;0.037;4;100;0.9902;03. Mrz;0.39;11. Apr;4
06. Mrz;0.22;0.43;Apr 55;0.038;31;130;0.9918;Mrz 35;0.33;11. Mai;7
07. Mai;0.27;0.31;17. Jul;0.051;33;173;0.999;03. Sep;0.64;10. Feb;5
06. Sep;0.23;0.4;07. Mai;0.04;50;151;0.9927;03. Nov;0.27;11. Apr;6
07. Feb;0.32;0.47;05. Jan;0.044;19;65;0.991;03. Mrz;0.41;12. Jun;4
05. Sep;0.23;0.3;12. Sep;0.054;57;170;0.9972;Mrz 28;0.39;09. Apr;5
6;0.67;0.07;01. Feb;0.06;9;108;0.9931;03. Nov;0.35;08. Jul;4
06. Apr;0.25;0.32;05. Mai;0.049;41;176;0.995;Mrz 19;0.68;09. Feb;6
06. Apr;0.33;0.31;05. Mai;0.048;42;173;0.9951;Mrz 19;0.66;09. Mrz;6
07. Jan;0.34;0.15;01. Feb;0.053;61;183;0.9936;03. Sep;0.43;09. Feb;5
06. Aug;0.28;0.4;22;0.048;48;167;1.001;Feb 93;0.5;08. Jul;5
06. Sep;0.27;0.4;14;0.05;64;227;0.9979;Mrz 18;0.58;09. Jun;6
06. Aug;0.26;0.56;11. Sep;0.043;64;226;0.997;03. Feb;0.63;09. Mrz;5
06. Aug;0.29;0.56;11. Sep;0.043;66;230;0.9972;03. Feb;0.63;09. Mrz;5
06. Jul;0.24;0.41;09. Apr;0.04;49;166;0.9954;03. Dez;0.61;09. Sep;6
05. Sep;0.3;0.23;04. Feb;0.038;42;119;0.9924;Mrz 15;0.5;11;5
06. Aug;0.53;0.35;03. Aug;0.034;26;109;0.9906;Mrz 26;0.57;12. Jul;8
06. Mai;0.28;0.28;08. Mai;0.047;54;210;0.9962;03. Sep;0.54;08. Sep;4
06. Jun;0.28;0.28;08. Mai;0.052;55;211;0.9962;03. Sep;0.55;08. Sep;6
06. Aug;0.28;0.4;22;0.048;48;167;1.001;Feb 93;0.5;08. Jul;5
06. Aug;0.28;0.36;8;0.045;28;123;0.9928;03. Feb;0.37;11. Apr;6
06. Jun;0.15;0.34;05. Jan;0.055;34;125;0.9942;Mrz 36;0.42;09. Jun;5
06. Apr;0.29;0.44;03. Jun;0.2;75;181;0.9942;03. Feb;0.41;09. Jan;5
06. Apr;0.3;0.45;03. Mai;0.197;76;180;0.9942;03. Feb;0.39;09. Jan;6
06. Apr;0.29;0.44;03. Jun;0.197;75;183;0.9942;03. Jan;0.38;09. Jan;5
06. Aug;0.26;0.24;07. Aug;0.052;54;214;0.9961;Mrz 13;0.47;08. Sep;5
07. Jan;0.32;0.24;13. Jan;0.05;52;204;0.998;03. Jan;0.49;08. Aug;5
06. Aug;0.26;0.24;07. Aug;0.052;54;214;0.9961;Mrz 13;0.47;08. Sep;5
06. Aug;0.27;0.26;16. Jan;0.049;55;196;0.9984;Mrz 15;0.5;09. Mrz;5
07. Jan;0.32;0.24;13. Jan;0.05;52;204;0.998;03. Jan;0.49;08. Aug;5
06. Sep;0.54;0.32;13. Feb;0.05;53;236;0.9973;03. Feb;0.5;09. Jun;5
06. Aug;0.26;0.34;13. Sep;0.034;39;134;0.9949;Mrz 33;0.53;12;6
05. Aug;0.28;0.35;02. Mrz;0.053;36;114;0.9924;Mrz 28;0.5;10. Feb;4
06. Apr;0.21;0.5;11. Jun;0.042;45;153;0.9972;Mrz 15;0.43;08. Aug;5
7;0.16;0.32;08. Mrz;0.045;38;126;0.9958;Mrz 21;0.34;09. Feb;5
10. Feb;0.44;0.88;06. Feb;0.049;20;124;0.9968;Feb 99;0.51;09. Sep;4
06. Aug;0.57;0.29;02. Feb;0.04;15;77;0.9938;Mrz 32;0.74;10. Feb;5
06. Jan;0.4;0.31;0.9;0.048;23;170;0.993;Mrz 22;0.77;09. Mai;6
05. Jun;0.245;0.25;09. Jul;0.032;12;68;0.994;Mrz 31;0.34;10. Mai;5
06. Aug;0.18;0.38;01. Apr;0.038;35;111;0.9918;Mrz 32;0.59;11. Feb;7
7;0.16;0.32;08. Mrz;0.045;38;126;0.9958;Mrz 21;0.34;09. Feb;5
06. Jul;0.13;0.29;05. Mrz;0.051;31;122;0.9944;Mrz 44;0.37;09. Jul;6
06. Feb;0.25;0.25;01. Apr;0.03;35;105;0.9912;03. Mrz;0.44;11. Jan;7
05. Aug;0.26;0.24;09. Feb;0.044;55;152;0.9961;Mrz 31;0.38;09. Apr;5
07. Mai;0.27;0.36;7;0.036;45;164;0.9939;03. Mrz;0.33;11;5
05. Aug;0.26;0.24;09. Feb;0.044;55;152;0.9961;Mrz 31;0.38;09. Apr;5
05. Jul;0.28;0.24;17. Mai;0.044;60;167;0.9989;Mrz 31;0.44;09. Apr;5
07. Mai;0.23;0.36;7;0.036;43;161;0.9938;03. Apr;0.32;11;5
07. Mai;0.27;0.36;7;0.036;45;164;0.9939;03. Mrz;0.33;11;5
07. Feb;0.685;0.21;09. Mai;0.07;33;172;0.9971;3;0.55;09. Jan;6
06. Feb;0.25;0.25;01. Apr;0.03;35;105;0.9912;03. Mrz;0.44;11. Jan;7
06. Mai;0.19;0.3;0.8;0.043;33;144;0.9936;Mrz 42;0.39;09. Jan;6
06. Mrz;0.495;0.22;01. Aug;0.046;31;140;0.9929;Mrz 39;0.54;10. Apr;6
07. Jan;0.24;0.41;17. Aug;0.046;39;145;0.9998;Mrz 32;0.39;08. Jul;5
06. Apr;0.17;0.32;02. Apr;0.048;41;200;0.9938;03. Mai;0.5;09. Jul;6
07. Jan;0.25;0.32;10. Mrz;0.041;66;272;0.9969;Mrz 17;0.52;09. Jan;6
06. Apr;0.17;0.32;02. Apr;0.048;41;200;0.9938;03. Mai;0.5;09. Jul;6
07. Jan;0.24;0.41;17. Aug;0.046;39;145;0.9998;Mrz 32;0.39;08. Jul;5
06. Aug;0.64;0.08;09. Jul;0.062;26;142;0.9972;Mrz 37;0.46;08. Sep;4
08. Mrz;0.28;0.4;07. Aug;0.041;38;194;0.9976;Mrz 34;0.51;09. Jun;6
08. Feb;0.27;0.39;07. Aug;0.039;49;208;0.9976;Mrz 31;0.51;09. Mai;6
07. Feb;0.23;0.38;14. Mrz;0.058;55;194;0.9979;03. Sep;0.44;9;6
07. Feb;0.23;0.38;14. Mrz;0.058;55;194;0.9979;03. Sep;0.44;9;6
07. Feb;0.23;0.38;14. Mrz;0.058;55;194;0.9979;03. Sep;0.44;9;6
07. Feb;0.23;0.38;14. Mrz;0.058;55;194;0.9979;03. Sep;0.44;9;6
06. Aug;0.52;0.32;13. Feb;0.044;54;221;0.9972;Mrz 27;0.5;09. Jun;6
7;0.26;0.59;01. Apr;0.037;40;120;0.9918;Mrz 34;0.41;11. Jan;7
06. Feb;0.25;0.21;15.55;0.039;28;159;0.9982;Mrz 48;0.64;09. Jun;6
07. Mrz;0.32;0.23;13. Jul;0.05;49;197;0.9985;03. Feb;0.46;08. Jul;5
07. Jul;0.31;0.26;07. Aug;0.031;23;90;0.9944;Mrz 13;0.5;10. Apr;5
07. Jan;0.21;0.37;02. Apr;0.026;23;100;0.9903;Mrz 15;0.38;11. Apr;7
06. Aug;0.24;0.34;02. Jul;0.047;64.5;218.5;0.9934;03. Mrz;0.58;09. Jul;6
06. Sep;0.4;0.56;11. Feb;0.043;40;142;0.9975;Mrz 14;0.46;08. Jul;5
06. Jan;0.18;0.36;2;0.038;20;249.5;0.9923;Mrz 37;0.79;11. Mrz;6
06. Aug;0.21;0.27;02. Jan;0.03;26;139;0.99;Mrz 16;0.61;12. Jun;7
05. Aug;0.2;0.27;01. Apr;0.031;12;77;0.9905;Mrz 25;0.36;10. Sep;7
05. Jun;0.19;0.26;01. Apr;0.03;12;76;0.9905;Mrz 25;0.37;10. Sep;7
06. Jan;0.41;0.14;10. Apr;0.037;18;119;0.996;Mrz 38;0.45;10;5
05. Sep;0.21;0.28;04. Jun;0.053;40;199;0.9964;Mrz 72;0.7;10;4
08. Mai;0.26;0.21;16. Feb;0.074;41;197;0.998;03. Feb;0.5;09. Aug;3
06. Sep;0.4;0.56;11. Feb;0.043;40;142;0.9975;Mrz 14;0.46;08. Jul;5
05. Aug;0.24;0.44;03. Mai;0.029;5;109;0.9913;Mrz 53;0.43;11. Jul;3
05. Aug;0.24;0.39;01. Mai;0.054;37;158;0.9932;Mrz 21;0.52;09. Mrz;6
06. Jul;0.26;0.39;01. Jan;0.04;45;147;0.9935;Mrz 32;0.58;09. Jun;8
06. Mrz;0.35;0.3;05. Jul;0.035;8;97;0.9927;Mrz 27;0.41;11;7
06. Mrz;0.35;0.3;05. Jul;0.035;8;97;0.9927;Mrz 27;0.41;11;7
06. Apr;0.23;0.39;01. Aug;0.032;23;118;0.9912;Mrz 32;0.5;11. Aug;6
05. Aug;0.36;0.38;0.9;0.037;3;75;0.9904;Mrz 28;0.34;11. Apr;4
06. Sep;0.115;0.35;05. Apr;0.048;36;108;0.9939;Mrz 32;0.42;10. Feb;6
06. Sep;0.29;0.4;19.45;0.043;36;156;0.9996;Feb 93;0.47;08. Sep;5
06. Sep;0.28;0.4;08. Feb;0.036;15;95;0.9944;Mrz 17;0.33;10. Feb;5
07. Feb;0.29;0.4;13. Jun;0.045;66;231;0.9977;03. Aug;0.59;09. Jun;6
06. Feb;0.24;0.35;01. Feb;0.038;22;167;0.9912;03. Jan;0.48;10. Jun;6
06. Sep;0.29;0.4;19.45;0.043;36;156;0.9996;Feb 93;0.47;08. Sep;5
06. Sep;0.32;0.26;08. Mrz;0.053;32;180;0.9965;Mrz 25;0.51;09. Feb;6
05. Mrz;0.58;0.07;06. Sep;0.043;34;149;0.9944;Mrz 34;0.57;09. Jul;5
05. Mrz;0.585;0.07;07. Jan;0.044;34;145;0.9945;Mrz 34;0.57;09. Jul;6
05. Apr;0.59;0.07;7;0.045;36;147;0.9944;Mrz 34;0.57;09. Jul;6
06. Sep;0.32;0.26;08. Mrz;0.053;32;180;0.9965;Mrz 25;0.51;09. Feb;6
05. Feb;0.6;0.07;7;0.044;33;147;0.9944;Mrz 33;0.58;09. Jul;5
05. Aug;0.25;0.26;13. Jan;0.051;44;148;0.9972;Mrz 29;0.38;09. Mrz;5
06. Jun;0.58;0.3;05. Jan;0.057;30;123;0.9949;Mrz 24;0.38;9;5
7;0.29;0.54;10. Jul;0.046;59;234;0.9966;03. Mai;0.61;09. Mai;5
